,Postal code,Building type,2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2),label6,label8,label10,Location
2046,13200,"Blocks of flats, one-room flat",2624.0,2624.0,2624.0,2624.0,2624.0,2624.0,0,4,4,Keinusaari   (Hämeenlinna )
2052,13210,"Blocks of flats, one-room flat",2312.6129032258063,2327.2903225806454,2341.967741935484,2356.6451612903224,2371.3225806451615,2386.0,0,4,4,Hätilä   (Hämeenlinna )
2094,13500,"Blocks of flats, one-room flat",1383.0,1383.0,1383.0,1383.0,1383.0,1383.0,1,2,2,Jukola   (Hattula )
2136,14200,"Blocks of flats, one-room flat",1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,4,0,0,Turenki   (Janakkala )
2196,15100,"Blocks of flats, one-room flat",2320.3333333333335,2317.6666666666665,2315.0,2315.0,2315.0,2315.0,0,4,4,Lahti Asemanseutu   (Lahti )
2202,15110,"Blocks of flats, one-room flat",2662.0,2603.0,2544.0,2485.0,2955.0,2909.0,0,4,4,Keski-Lahti   (Lahti )
2208,15140,"Blocks of flats, one-room flat",2346.285714285714,2256.8571428571427,2167.4285714285716,2078.0,2658.0,2658.0,0,4,4,Kartano-Paavola   (Lahti )
2214,15150,"Blocks of flats, one-room flat",1855.3846153846155,1828.3076923076924,1801.2307692307693,1774.1538461538462,1747.076923076923,1720.0,1,2,2,Möysä   (Lahti )
2226,15170,"Blocks of flats, one-room flat",1688.0,1688.0,1688.0,1688.0,1688.0,1688.0,1,2,2,Tenava-Tonttila   (Lahti )
2232,15200,"Blocks of flats, one-room flat",1759.0,1759.0,1759.0,1759.0,1759.0,1759.0,1,2,2,Kiveriö   (Lahti )
2238,15210,"Blocks of flats, one-room flat",2350.1666666666665,2404.333333333333,2458.5,2512.6666666666665,2566.833333333333,2621.0,0,4,4,Kivistönmäki   (Lahti )
2250,15240,"Blocks of flats, one-room flat",1323.3125,1300.0,1319.0,1286.0,1160.0,1160.0,4,0,0,Mukkula   (Lahti )
2268,15320,"Blocks of flats, one-room flat",,,,,1273.0,1273.0,4,0,0,Ahtiala   (Lahti )
2280,15500,"Blocks of flats, one-room flat",1317.0,1317.0,1317.0,1317.0,1317.0,1317.0,4,0,0,Liipola   (Lahti )
2298,15550,"Blocks of flats, one-room flat",1033.0,1033.0,1033.0,1033.0,1033.0,1033.0,4,0,0,Rakokivi   (Lahti )
2304,15560,"Blocks of flats, one-room flat",917.0,917.0,917.0,917.0,917.0,917.0,4,6,6,Nastola kk   (Lahti )
2322,15700,"Blocks of flats, one-room flat",1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1,2,2,Hennala-Jokimaa   (Hollola )
2328,15800,"Blocks of flats, one-room flat",1845.6,1807.4,1769.2,1731.0,1731.0,1731.0,1,2,2,Kärpänen   (Lahti )
2340,15830,"Blocks of flats, one-room flat",1457.0,1457.0,1457.0,1457.0,1457.0,1457.0,1,2,2,Metsäkangas   (Lahti )
2358,15860,"Blocks of flats, one-room flat",1033.0,1033.0,1033.0,1033.0,1033.0,1033.0,4,0,0,Kartano   (Hollola )
2364,15870,"Blocks of flats, one-room flat",859.0,859.0,859.0,859.0,859.0,859.0,4,6,6,Salpakangas   (Hollola )
2370,15880,"Blocks of flats, one-room flat",676.0,676.0,676.0,676.0,676.0,676.0,4,6,6,Soramäki   (Hollola )
2382,15950,"Blocks of flats, one-room flat",1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1,7,7,Kiikkula   (Lahti )
2412,16300,"Blocks of flats, one-room flat",1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,4,0,0,Orimattila Keskus   (Orimattila )
2460,16900,"Blocks of flats, one-room flat",876.0,876.0,876.0,876.0,876.0,876.0,4,6,6,Lammi kk   (Hämeenlinna )
2478,17200,"Blocks of flats, one-room flat",1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,4,0,0,Vääksy Keskus   (Asikkala )
2502,18100,"Blocks of flats, one-room flat",1104.25,1163.5,1222.75,1282.0,1282.0,1282.0,4,0,0,Heinola Keskus   (Heinola )
2514,18130,"Blocks of flats, one-room flat",670.0,670.0,670.0,670.0,670.0,670.0,4,6,6,Tommola-Sahanniemi   (Heinola )
2520,18150,"Blocks of flats, one-room flat",970.0,970.0,970.0,970.0,970.0,970.0,4,0,0,Jyränkö   (Heinola )
2526,18200,"Blocks of flats, one-room flat",834.0,834.0,834.0,834.0,834.0,834.0,4,6,6,Kaakonlampi-Pyhätön   (Heinola )
2640,20100,"Blocks of flats, one-room flat",4351.0,4392.0,4346.0,4241.0,4324.0,4284.0,3,3,3,Turku Keskus   (Turku )
2646,20200,"Blocks of flats, one-room flat",3193.421052631579,3228.7368421052633,3264.0526315789475,3299.3684210526317,3334.684210526316,3370.0,2,1,1,Iso-Heikkilä   (Turku )
2670,20300,"Blocks of flats, one-room flat",2899.0,2899.0,2899.0,2899.0,2899.0,2899.0,0,4,4,Pohjola-Kastu   (Turku )
2676,20320,"Blocks of flats, one-room flat",2426.0,2344.5,2263.0,2062.0,2460.0,2858.0,0,4,4,Kuninkoja-Mälikkälä   (Turku )
2682,20360,"Blocks of flats, one-room flat",1941.0,1941.0,1941.0,1941.0,1941.0,1941.0,1,7,7,Kärsämäki-Urusvuori-Halinen   (Turku )
2706,20500,"Blocks of flats, one-room flat",4342.222222222223,4397.111111111111,4452.0,4243.0,4573.0,4573.0,3,3,3,Vesilinna   (Turku )
2712,20520,"Blocks of flats, one-room flat",4440.0,4440.0,4440.0,4440.0,4440.0,4440.0,3,3,3,Kupittaa   (Turku )
2718,20540,"Blocks of flats, one-room flat",2896.285714285714,2928.1428571428573,2960.0,2960.0,2960.0,2960.0,0,4,4,Nummi-Ylioppilaskylä   (Turku )
2724,20610,"Blocks of flats, one-room flat",1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1,7,7,Varissuo   (Turku )
2736,20700,"Blocks of flats, one-room flat",3924.0,3924.0,3924.0,3924.0,3924.0,3924.0,2,1,1,Vartiovuori-Samppalinna   (Turku )
2742,20720,"Blocks of flats, one-room flat",3303.0,3303.0,3303.0,3303.0,3303.0,3303.0,2,1,1,Vasaramäki   (Turku )
2754,20740,"Blocks of flats, one-room flat",2323.0,2323.0,2323.0,2323.0,2323.0,2323.0,0,4,4,Ilpoinen-Harittu   (Turku )
2760,20750,"Blocks of flats, one-room flat",1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1,2,2,Huhkola-Lauste-Vaala   (Turku )
2772,20780,"Blocks of flats, one-room flat",2079.6666666666665,2018.3333333333333,1957.0,1957.0,1957.0,1957.0,1,7,7,Kaarina Keskus   (Kaarina )
2778,20810,"Blocks of flats, one-room flat",4429.0,4217.0,4080.0,4384.0,3993.0,4510.0,3,3,3,Martti-Korppolaismäki   (Turku )
2784,20880,"Blocks of flats, one-room flat",2355.0,2355.0,2355.0,2355.0,2355.0,2355.0,0,4,4,Uittamo   (Turku )
2802,21100,"Blocks of flats, one-room flat",2421.0,2421.0,2421.0,2421.0,2421.0,2421.0,0,4,4,Naantali Keskus   (Naantali )
2850,21200,"Blocks of flats, one-room flat",1867.0,2117.0,2047.0,2132.0,2217.0,2209.0,1,7,8,Raisio Keskus   (Raisio )
2952,21420,"Blocks of flats, one-room flat",1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1,2,2,Lieto Keskus   (Lieto )
2982,21530,"Blocks of flats, one-room flat",1107.0,1107.0,1107.0,1107.0,1107.0,1107.0,4,0,0,Paimio Keskus   (Paimio )
3012,21600,"Blocks of flats, one-room flat",1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,4,0,0,Parainen Keskus   (Parainen )
3168,23500,"Blocks of flats, one-room flat",1327.75,1276.5,1225.25,1174.0,1174.0,1174.0,4,0,0,Uusikaupunki Keskus   (Uusikaupunki )
3180,23800,"Blocks of flats, one-room flat",1338.0,1338.0,1338.0,1338.0,1338.0,1338.0,4,0,0,Laitila Keskus   (Laitila )
3198,24100,"Blocks of flats, one-room flat",1577.0,1724.0,1679.0,1404.0,1737.0,1367.0,1,2,2,Salo Keskus   (Salo )
3210,24240,"Blocks of flats, one-room flat",1792.0,1792.0,1792.0,1792.0,1792.0,1792.0,1,7,7,Rappula   (Salo )
3444,26100,"Blocks of flats, one-room flat",1475.0,2034.0,1445.0,1487.0,1660.0,1660.0,1,2,2,Rauma Keskus   (Rauma )
3468,26660,"Blocks of flats, one-room flat",1314.0,1314.0,1314.0,1314.0,1314.0,1314.0,4,0,0,Paroalho   (Rauma )
3540,27500,"Blocks of flats, one-room flat",770.0,770.0,770.0,770.0,770.0,770.0,4,6,6,Kauttua   (Eura )
3630,28100,"Blocks of flats, one-room flat",1868.0,1943.0,2018.0,2093.0,1690.0,1969.0,1,7,7,Pori Keskus   (Pori )
3636,28120,"Blocks of flats, one-room flat",1358.0,1358.0,1358.0,1358.0,1358.0,1358.0,1,2,2,Käppärä-Isomäki   (Pori )
3642,28130,"Blocks of flats, one-room flat",2059.4285714285716,2077.5714285714284,2095.714285714286,2113.8571428571427,2132.0,2132.0,1,7,8,Impola   (Pori )
3648,28190,"Blocks of flats, one-room flat",990.0,990.0,990.0,990.0,990.0,990.0,4,0,0,Pormestarinluoto   (Pori )
3684,28330,"Blocks of flats, one-room flat",738.0,738.0,738.0,738.0,738.0,738.0,4,6,6,Koivistonluoto   (Pori )
3690,28360,"Blocks of flats, one-room flat",1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,4,0,0,Vanhakoivisto   (Pori )
