,Postal code,Building type,2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2),label6,label8,label10,Location
1225,04260,"Blocks of flats, two-room flat",2192.4444444444443,2259.5555555555557,2326.6666666666665,2393.777777777778,2460.8888888888887,2528.0,5,6,6,Savio   (Kerava )
1231,04300,"Blocks of flats, two-room flat",2326.0,2326.0,2326.0,2326.0,2326.0,2326.0,5,6,6,Hyrylä   (Tuusula )
1243,04320,"Blocks of flats, two-room flat",1947.0,2019.5,2092.0,1790.0,1790.0,1790.0,5,0,8,Riihikallio   (Tuusula )
1255,04340,"Blocks of flats, two-room flat",1639.0,1639.0,1639.0,1639.0,1639.0,1639.0,1,1,0,Mattila   (Tuusula )
1279,04400,"Blocks of flats, two-room flat",2445.0,2431.0,2457.0,2705.0,2618.0,2351.0,5,6,6,Loutti   (Järvenpää )
1285,04410,"Blocks of flats, two-room flat",2203.0,2219.5,2236.0,1934.0,2211.0,2211.0,5,0,5,Järvenpää Keskus   (Järvenpää )
1303,04440,"Blocks of flats, two-room flat",1635.0,1635.0,1635.0,1635.0,1635.0,1635.0,1,1,0,Jamppa   (Järvenpää )
1327,04600,"Blocks of flats, two-room flat",1665.0,1731.0,1797.0,1863.0,2108.0,2033.0,5,0,8,Mäntsälä Keskus   (Mäntsälä )
1369,05200,"Blocks of flats, two-room flat",1666.0,1666.0,1666.0,1666.0,1666.0,1666.0,1,1,0,Rajamäki   (Nurmijärvi )
1375,05400,"Blocks of flats, two-room flat",1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,5,0,8,Jokela   (Tuusula )
1399,05460,"Blocks of flats, two-room flat",1887.0,1887.0,1887.0,1887.0,1887.0,1887.0,5,0,8,Hakalanmäki-Hakala   (Hyvinkää )
1423,05800,"Blocks of flats, two-room flat",1799.0,1879.0,1994.0,1980.0,1924.0,2135.0,5,0,8,Hyvinkää Keskus   (Hyvinkää )
1441,05830,"Blocks of flats, two-room flat",1769.0,1647.0,1807.0,1927.0,2141.0,2228.0,5,0,8,Kirjavatolppa-Kruununpuisto   (Hyvinkää )
1459,05880,"Blocks of flats, two-room flat",982.6,937.4,892.2,847.0,912.5,978.0,3,3,7,Paavola-Vaivero   (Hyvinkää )
1465,05900,"Blocks of flats, two-room flat",1760.5,1824.3333333333333,1888.1666666666667,1952.0,1965.0,1965.0,5,0,8,Vieremä   (Hyvinkää )
1471,06100,"Blocks of flats, two-room flat",2874.0,2884.0,2896.0,2619.0,2748.0,2705.0,0,4,2,Porvoo Keskus   (Porvoo )
1477,06150,"Blocks of flats, two-room flat",1998.0,1998.0,1998.0,1998.0,1998.0,1998.0,5,0,8,Kevätkumpu   (Porvoo )
1489,06400,"Blocks of flats, two-room flat",1977.3636363636365,2019.909090909091,2062.4545454545455,2105.0,1931.5,1758.0,5,0,8,Gammelbacka   (Porvoo )
1495,06450,"Blocks of flats, two-room flat",2090.0,2090.0,2090.0,2090.0,2090.0,2090.0,5,0,5,Eestinmäki-Ernestas   (Porvoo )
1663,07900,"Blocks of flats, two-room flat",1544.111111111111,1555.5555555555557,1567.0,1567.0,1567.0,1567.0,1,1,0,Loviisa Keskus   (Loviisa )
1711,08100,"Blocks of flats, two-room flat",2443.0,2479.0,2298.0,2096.0,2349.0,2651.0,5,6,6,Lohja Keskus   (Lohja )
1717,08150,"Blocks of flats, two-room flat",1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,5,0,8,Keskilohja   (Lohja )
1723,08200,"Blocks of flats, two-room flat",1191.5,1237.0,1357.0,1477.0,1613.0,1613.0,1,1,0,Ojamo   (Lohja )
1729,08350,"Blocks of flats, two-room flat",1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1,5,3,Routio   (Lohja )
1753,08700,"Blocks of flats, two-room flat",1377.0,1408.25,1439.5,1470.75,1502.0,1502.0,1,1,0,Virkkala   (Lohja )
1807,10300,"Blocks of flats, two-room flat",1420.6666666666667,1355.3333333333333,1290.0,1471.0,1241.0,1604.0,1,5,3,Karjaa Keskus   (Raasepori )
1867,10600,"Blocks of flats, two-room flat",1660.0,1709.0,1758.0,1807.0,1880.0,2156.0,5,0,8,Tammisaari Keskus   (Raasepori )
1873,10620,"Blocks of flats, two-room flat",910.0,910.0,910.0,910.0,910.0,910.0,3,3,7,Tammisaari   (Raasepori )
1885,10650,"Blocks of flats, two-room flat",1514.0,1514.0,1514.0,1514.0,1514.0,1514.0,1,1,0,Flyet   (Raasepori )
1915,10900,"Blocks of flats, two-room flat",1249.0,1506.0,1433.0,1358.0,1202.0,1393.0,1,5,3,Hanko Keskus   (Hanko )
