,K,Median RMSE,Median MAE
146,148.0,201.55332482694277,170.85325829266438
147,149.0,179.55351997508563,144.31025542149087
148,150.0,200.7763134947441,175.74022952066602
149,151.0,191.60545995364015,158.34212558321292
150,152.0,193.4423474874801,169.11777639199516
151,153.0,179.55351997508563,144.31025542149087
152,154.0,189.8406053166052,168.0889727382426
153,155.0,191.60545995364015,167.6348938114391
154,156.0,208.15308406068945,172.82902773952205
155,157.0,202.24169368165806,169.69250111894422
156,158.0,191.51318957968545,168.0889727382426
157,159.0,192.61527501512688,169.69250111894422
158,160.0,208.15308406068945,177.47038118248295
159,161.0,184.9043525297014,164.1328796836657
160,162.0,208.15308406068945,176.1467425119817
161,163.0,195.27923502132006,172.01401546638454
162,164.0,199.76959807753448,170.27853356571532
163,165.0,207.82741463256548,175.96555436009987
164,166.0,184.0687782970742,150.75520913796367
165,167.0,192.96399306378103,168.5430516650461
166,168.0,175.05377816149888,136.0708983123173
167,169.0,192.96399306378103,167.6348938114391
168,170.0,202.38871766693416,169.11777639199516
169,171.0,207.82741463256548,176.32793066386353
170,172.0,201.55332482694277,170.27853356571532
171,173.0,184.9043525297014,157.20016285443648
172,174.0,192.2847265087106,168.0889727382426
173,175.0,206.68296563770653,176.32793066386353
174,176.0,191.3513169838939,169.11777639199516
175,177.0,192.96399306378103,169.69250111894422
176,178.0,197.04475789045736,170.27853356571532
177,179.0,191.60545995364015,167.6348938114391
178,180.0,186.7441945743821,154.93288652985166
179,181.0,207.82741463256548,175.96555436009987
180,182.0,208.15308406068945,176.1467425119817
181,183.0,204.2599611337489,175.51490468123217
182,184.0,192.2847265087106,168.0889727382426
183,185.0,184.9043525297014,164.1328796836657
184,186.0,191.3513169838939,169.11777639199516
185,187.0,192.61527501512688,167.6348938114391
186,188.0,206.0436878831572,176.1467425119817
187,189.0,201.96356273723316,175.51490468123217
188,190.0,202.33357509423286,175.74022952066602
189,191.0,179.55351997508563,157.20016285443648
190,192.0,197.2950841645751,170.27853356571532
191,193.0,208.47875348881342,178.08991889916376
192,194.0,205.19702676321975,176.1467425119817
193,195.0,195.27923502132006,167.6348938114391
194,196.0,197.2950841645751,173.76446007380835
195,197.0,197.59643924785976,172.01401546638454
196,198.0,192.2847265087106,168.0889727382426
197,199.0,191.60545995364015,168.5430516650461
