,Postal code,Building type,2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2),label6,label8,label10,Location
6080,53810,"Blocks of flats, three-room flat+",1235.5,1239.0,1242.5,1246.0,1103.0,960.0,5,1,8,Kuusimäki-Lavola   (Lappeenranta )
6092,53850,"Blocks of flats, three-room flat+",1003.0,1003.0,1003.0,1003.0,1003.0,1003.0,5,1,9,Skinnarila   (Lappeenranta )
6098,53900,"Blocks of flats, three-room flat+",2679.0,2572.5,2466.0,2466.0,2466.0,2466.0,2,5,5,Pallo-Tysterniemi-Leiri   (Lappeenranta )
6104,53920,"Blocks of flats, three-room flat+",852.0,855.75,859.5,863.25,867.0,867.0,5,1,9,Voisalmi   (Lappeenranta )
6110,53950,"Blocks of flats, three-room flat+",1101.0,1101.0,1101.0,1101.0,1101.0,1101.0,5,1,8,Kivisalmi   (Lappeenranta )
6230,55100,"Blocks of flats, three-room flat+",1288.0,1288.0,1288.0,1288.0,1288.0,1288.0,4,0,0,Imatra Keskus   (Imatra )
6236,55120,"Blocks of flats, three-room flat+",648.0,648.0,648.0,648.0,648.0,648.0,5,1,1,Mansikkala-Tuulikallio   (Imatra )
6272,55510,"Blocks of flats, three-room flat+",664.0,664.0,664.0,664.0,664.0,664.0,5,1,1,Sotkulampi-Linnasuo   (Imatra )
6290,55800,"Blocks of flats, three-room flat+",635.0,635.0,635.0,635.0,635.0,635.0,5,1,1,Vuoksenniska-Saarlampi   (Imatra )
6338,57100,"Blocks of flats, three-room flat+",1556.0,1388.3333333333333,1220.6666666666667,1053.0,1514.0,1446.0,4,0,0,Heikinpohja-Piispanmäki   (Savonlinna )
6350,57130,"Blocks of flats, three-room flat+",1603.0,1603.0,1603.0,1603.0,1603.0,1603.0,4,4,4,Savonlinna Keskus   (Savonlinna )
6356,57170,"Blocks of flats, three-room flat+",1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,4,0,0,Sortteerinlahti-Talvisalo   (Savonlinna )
6362,57200,"Blocks of flats, three-room flat+",669.0,669.0,669.0,669.0,669.0,669.0,5,1,1,Miekonniemi-Venäjänniemi   (Savonlinna )
6524,60100,"Blocks of flats, three-room flat+",1854.0,1935.0,1986.0,1899.0,1403.0,2206.0,4,4,4,Seinäjoki Keskus   (Seinäjoki )
6536,60150,"Blocks of flats, three-room flat+",1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,5,1,8,Kasperi   (Seinäjoki )
6542,60200,"Blocks of flats, three-room flat+",2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2,5,5,Törnävä   (Seinäjoki )
6716,62100,"Blocks of flats, three-room flat+",818.0,818.0,818.0,818.0,818.0,818.0,5,1,9,Lapua Keskus   (Lapua )
6728,62200,"Blocks of flats, three-room flat+",810.0,810.0,810.0,810.0,810.0,810.0,5,1,9,Kauhava Keskus   (Kauhava )
7046,65100,"Blocks of flats, three-room flat+",2226.0,2013.0,2232.0,1944.0,2128.0,2297.0,2,5,5,Vaasa Keskus   (Vaasa )
7058,65200,"Blocks of flats, three-room flat+",1730.0,1771.0,1812.0,1923.0,1923.0,1923.0,4,4,4,Palosaari   (Vaasa )
7064,65230,"Blocks of flats, three-room flat+",990.0,990.0,990.0,990.0,990.0,990.0,5,1,9,Vetokannas   (Vaasa )
7070,65280,"Blocks of flats, three-room flat+",1420.0,1420.0,1420.0,1420.0,1420.0,1420.0,4,0,0,Gerby   (Vaasa )
7082,65320,"Blocks of flats, three-room flat+",1023.9655172413793,1018.7241379310344,1013.4827586206897,1008.2413793103449,1003.0,1003.0,5,1,9,Huutoniemi   (Vaasa )
7088,65350,"Blocks of flats, three-room flat+",1250.3333333333333,1177.6666666666667,1105.0,1214.0,1161.0,1092.0,5,1,8,Suvilahti   (Vaasa )
7094,65370,"Blocks of flats, three-room flat+",836.0,836.0,836.0,836.0,836.0,836.0,5,1,9,Ristinummi   (Vaasa )
7136,65610,"Blocks of flats, three-room flat+",1564.0,1564.0,1564.0,1564.0,1564.0,1564.0,4,4,4,Mustasaari Keskus   (Mustasaari )
7346,67100,"Blocks of flats, three-room flat+",1542.0,1633.0,1724.0,1669.0,1583.0,1771.0,4,4,4,Kokkola Keskus   (Kokkola )
7352,67200,"Blocks of flats, three-room flat+",1798.6,1776.8,1755.0,1314.0,1437.5,1561.0,4,4,4,Kiviniitty-Tullimäki   (Kokkola )
7478,68600,"Blocks of flats, three-room flat+",1096.0,1285.5,1475.0,1340.0,1299.0,1299.0,4,0,0,Pietarsaari Keskus   (Pietarsaari )
7484,68620,"Blocks of flats, three-room flat+",1020.25,1001.5,982.75,964.0,964.0,964.0,5,1,9,Skutnäs-Västermalm   (Pietarsaari )
7496,68660,"Blocks of flats, three-room flat+",752.0,752.0,752.0,752.0,752.0,752.0,5,1,1,Östermalm-Björnholmen   (Pietarsaari )
7640,70100,"Blocks of flats, three-room flat+",2471.0,2371.0,2793.0,2311.0,2473.0,2543.0,2,5,5,Kuopio Keskus   (Kuopio )
7646,70110,"Blocks of flats, three-room flat+",2249.0,2312.0,2375.0,2211.0,3099.0,2780.0,2,5,5,Etu-Niirala   (Kuopio )
7652,70150,"Blocks of flats, three-room flat+",1277.0,1366.0,1455.0,1306.0,1157.0,1157.0,4,0,0,Neulamäki   (Kuopio )
7658,70200,"Blocks of flats, three-room flat+",1436.5,1559.0,1601.0,1432.0,1938.0,1688.0,4,4,4,Puijonlaakso   (Kuopio )
7676,70300,"Blocks of flats, three-room flat+",,,,,3424.0,3424.0,3,3,3,Linnanpelto   (Kuopio )
7682,70340,"Blocks of flats, three-room flat+",1394.92,1391.96,1389.0,1513.0,1513.0,1513.0,4,0,0,Inkilänmäki   (Kuopio )
7694,70420,"Blocks of flats, three-room flat+",1420.0,1420.0,1420.0,1420.0,1420.0,1420.0,4,0,0,Päiväranta   (Kuopio )
7700,70460,"Blocks of flats, three-room flat+",745.0,729.0,713.0,697.0,681.0,681.0,5,1,1,Saarijärvi   (Kuopio )
7706,70500,"Blocks of flats, three-room flat+",986.0,1205.0,1151.0,1104.0,1184.0,1184.0,5,1,8,Männistö   (Kuopio )
7712,70600,"Blocks of flats, three-room flat+",1929.0,1814.5,1700.0,2324.0,2469.0,2614.0,2,5,5,Niirala-Huuhanmäki   (Kuopio )
7718,70620,"Blocks of flats, three-room flat+",1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,4,4,4,Haapaniemi   (Kuopio )
7724,70700,"Blocks of flats, three-room flat+",1824.0,1824.0,1824.0,1824.0,1824.0,1824.0,4,4,4,Särkiniemi   (Kuopio )
7742,70820,"Blocks of flats, three-room flat+",1325.8,1296.2,1266.6,1237.0,1237.0,1237.0,4,0,0,Litmanen   (Kuopio )
7748,70840,"Blocks of flats, three-room flat+",2769.0,2739.0,2709.0,2679.0,2617.0,2893.0,2,5,5,Jynkänmäki   (Kuopio )
7850,71800,"Blocks of flats, three-room flat+",1301.0,1301.0,1301.0,1301.0,1301.0,1301.0,4,0,0,Siilinjärvi Keskus   (Siilinjärvi )
8012,74100,"Blocks of flats, three-room flat+",1476.0,1524.0,1340.0,1296.0,1439.0,1819.0,4,0,0,"Iisalmi Keskus, Eteläinen   (Iisalmi )"
8018,74120,"Blocks of flats, three-room flat+",717.0,717.0,717.0,717.0,717.0,717.0,5,1,1,Iisalmi Keskus Pohjoinen   (Iisalmi )
8108,76100,"Blocks of flats, three-room flat+",592.0,592.0,592.0,592.0,592.0,592.0,5,1,1,Pieksämäki Keskus   (Pieksämäki )
8168,77600,"Blocks of flats, three-room flat+",870.0,870.0,870.0,870.0,870.0,870.0,5,1,9,Suonenjoki Keskus   (Suonenjoki )
8186,78200,"Blocks of flats, three-room flat+",684.0,525.0,851.0,1177.0,695.0,836.0,5,1,9,Varkaus Keskus   (Leppävirta )
8198,78250,"Blocks of flats, three-room flat+",738.0,738.0,738.0,738.0,738.0,738.0,5,1,1,Päiviönsaari   (Varkaus )
8306,80100,"Blocks of flats, three-room flat+",1647.5,1502.0,2205.0,1906.5,1608.0,1711.0,4,4,4,"Joensuu Keskus, Pohjoinen   (Joensuu )"
8312,80110,"Blocks of flats, three-room flat+",1569.0,1819.0,1946.0,1711.0,1827.0,1817.0,4,4,4,Joensuu Keskus Eteläinen   (Joensuu )
8330,80160,"Blocks of flats, three-room flat+",937.909090909091,889.2727272727273,840.6363636363637,792.0,792.0,792.0,5,1,9,Rantakylä-Latola   (Joensuu )
8342,80200,"Blocks of flats, three-room flat+",1645.2,1577.0,1577.0,1577.0,1577.0,1577.0,4,4,4,Niinivaara   (Joensuu )
